TeamID,TeamName,TeamAbbr,Location
1,Golden State Warriors,GSW,Oakland/California
2,Houston Rockets,HOU,Houston/Texas
3,New Orleans Pelicans,NOP,New Orleans/Louisiana
4,Toronto Raptors,TOR,Toronto/Ontario
5,Cleveland Cavaliers,CLE,Cleveland/Ohio
6,Denver Nuggets,DEN,Denver/Colorado
7,Philadelphia 76ers,PHI,Philadelphia/Pennsylvania
8,Minnesota Timberwolves,MIN,Minneapolis/Minnesota
9,Los Angeles Clippers,LAC,Los Angeles/California
10,Charlotte Hornets,CHO,Charlotte/North Carolina
11,Los Angeles Lakers,LAL,Los Angeles/California
12,Oklahoma City Thunder,OKC,Oklahoma City/Oklahoma
13,Washington Wizards,WAS,Washington DC
14,Brooklyn Nets,BRK,Brooklyn/New York
15,Milwaukee Bucks,MIL,Milwaukee/Wisconsin
16,Portland Trail Blazers,POR,Portland / Oregon
17,Indiana Pacers,IND,Indianapolis/Indiana
18,New York Knicks,NYK,New York/New York
19,Utah Jazz,UTA,Salt Lake City/Utah
20,Boston Celtics,BOS,Boston/Massachusetts
21,Phoenix Suns,PHO,Phoenix/Arizona
22,Detroit Pistons,DET,Detroit/Michigan
23,Miami Heat,MIA,Miami/Florida
24,Orlando Magic,ORL,Orlando/Florida
25,Atlanta Hawks,ATL,Atlanta/Georgia
26,Chicago Bulls,CHI,Chicago/Illinois
27,San Antonio Spurs,SAS,San Antonio/Texas
28,Dallas Mavericks,DAL,Dallas/Texas
29,Memphis Grizzlies,MEM,Memphis/Tennesee
30,Sacramento Kings,SAC,Sacramento/California
